12-a.wav,"забудь о старте, попробуем спасти результат"
17-a.wav,"ужасный старт, успокойся и начинай отыгрывать позиции"
6-a.wav,"посмотрим, какой результат ещё можно спасти"
sweary_16-a.wav,"чёртов кошмарный старт, теперь нужно минимизировать потери"
1_op_prefix_oh_dear-a.wav,"ужасный старт, давай, соберись"
2-a.wav,"тяжёлый старт, теперь работы много"
1-a.wav,"ужасный старт, давай, соберись"
4-a.wav,"ужасный старт, но гонка ещё не закончена"
sweary_15-a.wav,"плохой старт, но нужно отыграть хотя бы часть позиций"
sweary_3-a.wav,"плохой старт, давай, исправляйся"
sweary_10-a.wav,"чёрт, кошмарный старт, теперь нужно минимизировать потери"
14-a.wav,"не повезло на старте, теперь придётся самому отыгрываться"
5-a.wav,"теперь будет трудно, но начинаем отыгрываться"
13-a.wav,"ужасный старт, но не сдавайся"
6_op_prefix_ok-a.wav,"посмотрим, какой результат ещё можно спасти"
2_op_prefix_bad_luck-a.wav,"тяжёлый старт, теперь работы много"
